"site_id","region","species_richness","lat","lon"
5001,"STTSTJ",481,18.1999090443686,-64.7326109982935
5002,"STTSTJ",481,18.2028238066465,-64.7281012084592
5007,"STTSTJ",481,18.2286321337849,-64.7608473835732
5010,"STTSTJ",481,18.2338237631579,-64.8517925197368
5011,"STTSTJ",481,18.2361759552846,-64.8527797052846
5014,"STTSTJ",481,18.24734,-65.09384
5015,"STTSTJ",481,18.253901276455,-65.010037771164
5017,"STTSTJ",481,18.25839280643,-65.01221438714
5018,"STTSTJ",481,18.2557840740741,-65.0085177460317
5019,"STTSTJ",481,18.2613020392157,-64.908307627451
5020,"STTSTJ",481,18.26218,-64.93698
5021,"STTSTJ",481,18.2638947945205,-64.7961793150685
5022,"STTSTJ",481,18.26044,-65.11703
5024,"STTSTJ",481,18.2678011211871,-64.8667497856554
5026,"STTSTJ",481,18.2682875353872,-64.940507152373
5027,"STTSTJ",481,18.272736283557,-64.7929821308725
5028,"STTSTJ",481,18.2694862487258,-64.7720937716616
5029,"STTSTJ",481,18.2698516033755,-64.766395021097
5032,"STTSTJ",481,18.2739528571429,-64.9207716806723
5033,"STTSTJ",481,18.27095,-64.72248
4000,"STX",481,17.63612,-64.89149
4001,"STX",481,17.63623,-64.87406
4002,"STX",481,17.63627,-64.86639
4003,"STX",481,17.63715,-64.88885
4010,"STX",481,17.6449436962366,-64.8233791263441
4011,"STX",481,17.64215,-64.8273
4012,"STX",481,17.6442150259965,-64.8612246793761
4015,"STX",481,17.6488781967213,-64.8514537704918
4016,"STX",481,17.6496712010444,-64.8625460835509
4017,"STX",481,17.6522656070088,-64.8512174342929
4018,"STX",481,17.6518960648801,-64.8409507334274
4021,"STX",481,17.6544839361702,-64.8691485106383
4023,"STX",481,17.6559202154626,-64.8081498732573
4024,"STX",481,17.65468,-64.83206
4026,"STX",481,17.6571744544199,-64.7887597375691
4027,"STX",481,17.6573209440813,-64.8494607988381
4030,"STX",481,17.6596423893805,-64.8889963084703
4031,"STX",481,17.6599698124531,-64.8544002700675
4034,"STX",481,17.66136,-64.79528
4038,"STX",481,17.6616033695652,-64.8886920833333
